date,currency_code,name,local_price,dollar_ex
2000-04-01,ARS,Argentina,2.5,1.0
2000-04-01,AUD,Australia,2.59,1.68
2000-04-01,BRL,Brazil,2.95,1.79
2000-04-01,CAD,Canada,2.85,1.47
2000-04-01,CHF,Switzerland,5.9,1.7
2000-04-01,CLP,Chile,1260.0,514.0
2000-04-01,CNY,China,9.9,8.28
2000-04-01,CZK,Czech Republic,54.37,39.1
2000-04-01,DKK,Denmark,24.75,8.04
2000-04-01,EUR,Euro area,2.56,1.075268817
2000-04-01,GBP,Britain,1.9,0.632911392
2000-04-01,HKD,Hong Kong,10.2,7.79
2000-04-01,HUF,Hungary,339.0,279.0
2000-04-01,IDR,Indonesia,14500.0,7945.0
2000-04-01,ILS,Israel,14.5,4.05
2000-04-01,JPY,Japan,294.0,106.0
2000-04-01,KRW,South Korea,3000.0,1108.0
2000-04-01,MXN,Mexico,20.9,9.41
2000-04-01,MYR,Malaysia,4.52,3.8
2000-04-01,NZD,New Zealand,3.4,2.01
2000-04-01,PLN,Poland,5.5,4.3
2000-04-01,RUB,Russia,39.5,28.5
2000-04-01,SGD,Singapore,3.2,1.7
2000-04-01,SEK,Sweden,24.0,8.84
2000-04-01,THB,Thailand,55.0,38.0
2000-04-01,TWD,Taiwan,70.0,30.6
2000-04-01,USD,United States,2.51,1.0
2000-04-01,ZAR,South Africa,9.0,6.72
2001-04-01,ARS,Argentina,2.5,1.0
2001-04-01,AUD,Australia,3.0,1.98
2001-04-01,BRL,Brazil,3.6,2.19
2001-04-01,CAD,Canada,3.33,1.56
2001-04-01,CHF,Switzerland,6.3,1.73
2001-04-01,CLP,Chile,1260.0,601.0
2001-04-01,CNY,China,9.9,8.28
2001-04-01,CZK,Czech Republic,56.0,39.0
2001-04-01,DKK,Denmark,24.75,8.46
2001-04-01,EUR,Euro area,2.57,1.136363636
2001-04-01,GBP,Britain,1.99,0.699300699
2001-04-01,HKD,Hong Kong,10.7,7.8
2001-04-01,HUF,Hungary,399.0,303.0
2001-04-01,IDR,Indonesia,14700.0,10855.0
2001-04-01,JPY,Japan,294.0,124.0
2001-04-01,KRW,South Korea,3000.0,1325.0
2001-04-01,MXN,Mexico,21.9,9.29
2001-04-01,MYR,Malaysia,4.52,3.8
2001-04-01,NZD,New Zealand,3.6,2.47
2001-04-01,PHP,Philippines,59.0,50.3
2001-04-01,PLN,Poland,5.9,4.03
2001-04-01,RUB,Russia,35.0,28.9
2001-04-01,SGD,Singapore,3.3,1.81
2001-04-01,SEK,Sweden,24.0,10.28
2001-04-01,THB,Thailand,55.0,45.5
2001-04-01,TWD,Taiwan,70.0,32.9
2001-04-01,USD,United States,2.54,1.0
2001-04-01,ZAR,South Africa,9.7,8.13
2002-04-01,ARS,Argentina,2.5,3.13
2002-04-01,AUD,Australia,3.0,1.86
2002-04-01,BRL,Brazil,3.6,2.34
2002-04-01,CAD,Canada,3.33,1.57
2002-04-01,CHF,Switzerland,6.3,1.66
2002-04-01,CLP,Chile,1400.0,655.0
2002-04-01,CNY,China,10.5,8.28
2002-04-01,CZK,Czech Republic,56.28,34.0
2002-04-01,DKK,Denmark,24.75,8.38
2002-04-01,EUR,Euro area,2.67,1.123595506
2002-04-01,GBP,Britain,1.99,0.689655172
2002-04-01,HKD,Hong Kong,11.2,8.0
2002-04-01,HUF,Hungary,459.0,272.0
2002-04-01,IDR,Indonesia,16000.0,9430.0
2002-04-01,ILS,Israel,12.0,4.79
2002-04-01,JPY,Japan,262.0,130.0
2002-04-01,KRW,South Korea,3100.0,1304.0
2002-04-01,MXN,Mexico,21.9,9.28
2002-04-01,MYR,Malaysia,5.04,3.8
2002-04-01,NOK,Norway,35.0,8.56
2002-04-01,NZD,New Zealand,3.6,2.24
2002-04-01,PEN,Peru,8.5,3.43
2002-04-01,PHP,Philippines,65.0,51.0
2002-04-01,PLN,Poland,5.9,4.04
2002-04-01,RUB,Russia,39.0,31.2
2002-04-01,SGD,Singapore,3.3,1.82
2002-04-01,SEK,Sweden,26.0,10.4
2002-04-01,THB,Thailand,55.0,43.3
2002-04-01,TRY,Turkey,4000000.0,1324500.0
2002-04-01,TWD,Taiwan,70.0,34.8
2002-04-01,USD,United States,2.49,1.0
2002-04-01,ZAR,South Africa,9.7,10.9
2003-04-01,ARS,Argentina,4.1,2.88
2003-04-01,AUD,Australia,3.0,1.61
2003-04-01,BRL,Brazil,4.55,3.07
2003-04-01,CAD,Canada,3.2,1.45
2003-04-01,CHF,Switzerland,6.3,1.37
2003-04-01,CLP,Chile,1400.0,716.0
2003-04-01,CNY,China,9.9,8.28
2003-04-01,CZK,Czech Republic,56.57,28.9
2003-04-01,DKK,Denmark,27.75,6.78
2003-04-01,EGP,Egypt,8.0,5.92
2003-04-01,EUR,Euro area,2.71,0.9090909090000001
2003-04-01,GBP,Britain,1.99,0.632911392
2003-04-01,HKD,Hong Kong,11.5,7.8
2003-04-01,HUF,Hungary,490.0,224.0
2003-04-01,IDR,Indonesia,16100.0,8740.0
2003-04-01,JPY,Japan,262.0,120.0
2003-04-01,KRW,South Korea,3300.0,1220.0
2003-04-01,MXN,Mexico,23.0,10.53
2003-04-01,MYR,Malaysia,5.04,3.8
2003-04-01,NZD,New Zealand,3.95,1.78
2003-04-01,PEN,Peru,7.9,3.46
2003-04-01,PHP,Philippines,65.0,52.5
2003-04-01,PLN,Poland,6.3,3.89
2003-04-01,RUB,Russia,41.0,31.1
2003-04-01,SGD,Singapore,3.3,1.78
2003-04-01,SEK,Sweden,30.0,8.34
2003-04-01,THB,Thailand,59.0,42.7
2003-04-01,TRY,Turkey,3750000.0,1600500.0
2003-04-01,TWD,Taiwan,70.0,34.8
2003-04-01,USD,United States,2.71,1.0
2003-04-01,ZAR,South Africa,13.95,7.56
2004-05-01,ARS,Argentina,4.36,2.95
2004-05-01,AUD,Australia,3.25,1.43
2004-05-01,BRL,Brazil,5.4,3.18
2004-05-01,CAD,Canada,3.19,1.37
2004-05-01,CHF,Switzerland,6.3,1.29
2004-05-01,CLP,Chile,1400.0,641.0
2004-05-01,CNY,China,10.4,8.28
2004-05-01,COP,Colombia,6500.0,2769.83
2004-05-01,CRC,Costa Rica,1130.0,433.55
2004-05-01,CZK,Czech Republic,56.42,26.5
2004-05-01,DKK,Denmark,27.75,6.22
2004-05-01,EGP,Egypt,10.0,6.19
2004-05-01,EUR,Euro area,2.74,0.833333333
2004-05-01,GBP,Britain,1.88,0.558659218
2004-05-01,HKD,Hong Kong,12.0,7.79
2004-05-01,HUF,Hungary,530.0,211.0
2004-05-01,IDR,Indonesia,16100.0,9120.0
2004-05-01,JPY,Japan,262.0,113.0
2004-05-01,KRW,South Korea,3200.0,1177.0
2004-05-01,LKR,Sri Lanka,140.0,99.0
2004-05-01,MXN,Mexico,24.0,11.6
2004-05-01,MYR,Malaysia,5.04,3.8
2004-05-01,NOK,Norway,35.5,6.8491
2004-05-01,NZD,New Zealand,4.35,1.64
2004-05-01,PKR,Pakistan,110.0,57.76
2004-05-01,PEN,Peru,8.99,3.49
2004-05-01,PHP,Philippines,69.0,55.9
2004-05-01,PLN,Poland,6.3,3.87
2004-05-01,RUB,Russia,42.0,29.0
2004-05-01,SAR,Saudi Arabia,2.4,3.7502
2004-05-01,SGD,Singapore,3.3,1.71
2004-05-01,SEK,Sweden,30.0,7.61
2004-05-01,THB,Thailand,59.0,40.8
2004-05-01,TRY,Turkey,3950000.0,1531000.0
2004-05-01,TWD,Taiwan,75.0,33.4
2004-05-01,UAH,Ukraine,7.25,5.3315
2004-05-01,UYU,Uruguay,29.8,29.735
2004-05-01,USD,United States,2.9,1.0
2004-05-01,ZAR,South Africa,12.4,6.66
2005-06-01,AED,UAE,9.0,3.6725
2005-06-01,ARS,Argentina,4.75,2.897
2005-06-01,AUD,Australia,3.25,1.3015
2005-06-01,BRL,Brazil,5.9,2.4648
2005-06-01,CAD,Canada,3.28,1.2494
2005-06-01,CHF,Switzerland,6.3,1.2475
2005-06-01,CLP,Chile,1500.0,592.45
2005-06-01,CNY,China,10.5,8.2764
2005-06-01,COP,Colombia,6500.0,2327.7
